manga_id,title,score,scored_by,status,start_date,members,favorites,created_at_before,updated_at,genres,authors,serializations,synopsis,background,main_picture,url,title_english
187,Hanazakari no Kimitachi e,8.29,16575,finished,8/20/1996,34232,1899,2007-07-17 20:14:45+00:00,2022-06-10 13:10:06+00:00,"['Comedy', 'Drama', 'Romance']","[{'id': 1916, 'first_name': 'Hisaya', 'last_name': 'Nakajo', 'role': 'Story & Art'}]",['Hana to Yume'],"Japanese-American track-and-field star Mizuki has gotten herself to transfer to a high school in Japan...but not just any school! To be close to her idol, high jumper Izumi Sano, she's going to an all-guys' high school...and disguising herself as a boy! But as fate would have it, they're more than classmates...they're roommates! Now, Mizuki must keep her secret in the classroom, the locker room, and her own bedroom. And her classmates—and the school nurse—must cope with a new transfer student who may make them question their own orientation...

(Source: VIZ Media)

Included one-shots:
Volume 1: Natsu no Ori (The Cage of Summer)
Volume 4: Kawaki no Tsuki (The Thirsty Moon)","Hanazakari no Kimitachi e was published in English as Hana-Kimi by VIZ Media from September 7, 2004 to April 15, 2008. A 3-in-1 omnibus edition was also released from March 6, 2012 to April 1, 2014, wherein the final volume also included .",https://cdn.myanimelist.net/images/manga/3/262555l.jpg,https://myanimelist.net/manga/57/Hanazakari_no_Kimitachi_e,Hana-Kimi: For You in Full Blossom
188,Tsurezure Children,8.24,20249,finished,8/9/2014,52104,1750,2013-08-29 10:24:29+00:00,2022-04-16 22:28:32+00:00,"['Comedy', 'Romance']","[{'id': 26199, 'first_name': 'Toshiya', 'last_name': 'Wakabayashi', 'role': 'Story & Art'}]",['Shounen Magazine (Weekly)'],"Love is not simple. It is complicated, frustrating, often incomprehensible—and it is something that many high school students are all too familiar with. Love takes on countless forms, but it is an emotion common to different kinds of people: childhood friends, tsunderes, classmates, delinquents, and student council presidents. Love can also flourish between unlikely pairs who bury their feelings deep within them, making it harder and harder to say that one notorious phrase in the human language... ""I love you.""

Tsurezure Children follows the journeys of numerous different couples and their romantic escapades. From the butterflies of a confession to the failed attempts at a first kiss, this story sheds light on the challenges and triumphs of young love.

[Written by MAL Rewrite]","Tsurezure Children is a web manga released on the author's personal website from October 1, 2012 to February 14, 2017. The series has been published as doujinshi from December 31, 2012 to May 5, 2014, when the first volume was released at Comic Market 92. Official serialization started in Bessatsu Shounen Magazine on August 9, 2014. The series was published digitally in English as Tsuredure Children by Kodansha Comics USA from April 25, 2017 to March 12, 2019.",https://cdn.myanimelist.net/images/manga/1/155605l.jpg,https://myanimelist.net/manga/58027/Tsurezure_Children,Tsuredure Children
189,One Outs,8.57,10163,finished,11/14/1998,28920,1175,2008-11-20 07:28:25+00:00,2022-04-17 13:35:55+00:00,['Sports'],"[{'id': 2656, 'first_name': 'Shinobu', 'last_name': 'Kaitani', 'role': 'Story & Art'}]",['Business Jump'],"Toua Tokuchi, a master of gambling and mind games, holds the remarkable record of 499 wins and zero losses in ""One Outs,"" a simplified form of baseball that consists of only a batter and a pitcher. Visiting Okinawa, Tokuchi's hometown, is Hiromichi Kojima, the star batter of the Saikyou Saitama Lycaons, the weakest team in the Japanese baseball league. Dreaming of leading the Lycaons to winning the championship, and in dire need of a replacement for their injured pitcher during a training camp, Kojima involves himself in a game of One Outs, only to lose to a normal fastball from the seemingly invincible Tokuchi.

Mesmerized by his prowess, Kojima recruits Tokuchi to the team after narrowly avoiding defeat in a rematch, believing he might just be their key to victory. However, the greedy owner of the Lycaons refuses to give him a decent salary, leading Tokuchi to suggest an unusual contract: every out he pitches will gain him five million yen, but every run he gives up will lose him fifty million yen. With his fate now tied to that of the team, Tokuchi's fight to bring the Lycaons to victory becomes yet another gamble—the very thing that he does best.

[Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/manga/3/169329l.jpg,https://myanimelist.net/manga/11327/One_Outs,
190,Soul Eater,8.09,75293,finished,6/24/2003,167660,9415,2007-07-17 20:14:45+00:00,2022-04-18 03:56:49+00:00,"['Action', 'Fantasy', 'Supernatural']","[{'id': 5059, 'first_name': 'Atsushi', 'last_name': 'Ookubo', 'role': 'Story & Art'}]",['Shounen Gangan'],"Death City is home to the Death Weapon Meister Academy, established by Shinigami—the grim reaper himself. Created to maintain peace, the academy trains Meisters and Demon Weapons—people who take on the form of a weapon—to defend humanity against evil. The ultimate goal of a Meister is to create a ""Death Scythe"" worthy of being wielded by Shinigami. To do this, their weapon partner must consume the souls of 99 wicked humans and one witch.
 
Maka Albarn and her partner Soul Eater ""Soul"" Evans are two students who hope to make a Death Scythe. They are joined by the boisterous Black☆Star and his partner Tsubaki Nakatsukasa, as well as the perfectionist Death the Kid—simply known as Kid—and his partners, the twins Patricia ""Patty"" and Elizabeth ""Liz"" Thompson. These ambitious students all work towards becoming the ultimate Meister and Demon Weapon team, through misadventures, missions, and many class trials.
 
However, many mysteries surround them, and as new enemies are discovered and secrets are revealed, Maka, Soul, and their friends must fight to protect the academy, Death City, and the world itself from enemies far worse than humans.
 
[Written by MAL Rewrite]","Soul Eater was published in English by Yen Press from October 27, 2009 to March 24, 2015, as well as in eBook format from April 8, 2014 to March 24, 2015. It was also published in Spain by Norma Editorial from September 1, 2010 to October 1, 2014, and in Brazil by Jbc from July 2012 to August 2014. It has been published in Argentina by Ovni Press since September 29, 2017.",https://cdn.myanimelist.net/images/manga/1/159808l.jpg,https://myanimelist.net/manga/908/Soul_Eater,Soul Eater
191,Mushoku Tensei: Isekai Ittara Honki Dasu,8.14,37004,currently_publishing,5/2/2014,91340,3619,2014-04-08 05:46:56+00:00,2022-04-18 00:30:16+00:00,['Fantasy'],"[{'id': 10353, 'first_name': 'Yuka', 'last_name': 'Fujikawa', 'role': 'Art'}, {'id': 30675, 'first_name': '', 'last_name': 'Rifujin na Magonote', 'role': 'Story'}]",['Comic Flapper'],"A 34-year-old NEET loses his life saving a stranger in a traffic accident, only to wake up to find himself reborn as the baby Rudeus Greyrat in a new world filled with magic. The child of the adventurers Paul and Zenith Greyrat, his innate talent for magic is immediately recognized when he turns two, and the magic tutor Roxy Migurdia is brought to his home to refine him into a mage. With a tremendous amount of magical power and a wealth of knowledge from his original world, Rudeus seeks to fulfill his only desires from his previous life—to not repeat the mistakes of his past and die with no regrets.

[Written by MAL Rewrite]","Mushoku Tensei: Isekai Ittara Honki Dasu has been published in English as Mushoku Tensei: Jobless Reincarnation by Seven Seas Entertainment since November 24, 2015.",https://cdn.myanimelist.net/images/manga/2/181049l.jpg,https://myanimelist.net/manga/70259/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,Mushoku Tensei: Jobless Reincarnation
192,Here U Are,8.48,11006,finished,11/22/2017,22120,1285,2019-03-28 03:04:32+00:00,2022-04-17 04:30:36+00:00,"['Boys Love', 'Drama', 'Slice of Life']","[{'id': 50320, 'first_name': '', 'last_name': 'D Jun', 'role': 'Story & Art'}]",[],"Yang Yu is a second-year university student who seems reliable and pleasant. With the commencement of a new term, he is tasked with orienting every freshman he sees on campus. Eventually, his duty leads him to meet Huan Li, a new student with a fairly oppressive height. Besides his intimidating physique, he is taciturn, aloof, and often gives Yang Yu the cold shoulder.

Yang Yu, who has done nothing but assist him, immediately grows frustrated by this treatment. However, despite his initial impressions, Yang Yu believes that his chance encounter with Huan Li will transform his future outlook—perhaps even on the prospect of love.

[Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/manga/1/226061l.jpg,https://myanimelist.net/manga/119072/Here_U_Are,
193,No.6,8.29,15985,finished,1/28/2011,43775,2154,2011-02-04 00:21:32+00:00,2022-04-17 12:37:31+00:00,"['Action', 'Drama', 'Mystery', 'Sci-Fi']","[{'id': 7008, 'first_name': 'Atsuko', 'last_name': 'Asano', 'role': 'Story'}, {'id': 13689, 'first_name': 'Hinoki', 'last_name': 'Kino', 'role': 'Art'}]",['ARIA'],"Life in the futuristic city No. 6 cannot get any better, especially for top-ranking student Shion. Ever since he was two years old, he has lived peacefully in his district with a bright future ahead of him. However, on the night of his 12th birthday, his perfect life changed forever.

Standing in front of his room's open window, an unknown injured boy of his age strangles him. Despite being in danger, he insists on tending to the stranger's wounds instead of setting him free. The intruder, a fugitive by the name of Nezumi, reveals to Shion that the city is not as immaculate as it seems. The following day, Nezumi leaves without a trace, and the incident renders Shion and his mother void of their elite status.

Four years after that fateful stormy night, the most unimaginable events transpire, causing Shion to doubt the authorities sworn to protect his home. When he is falsely held responsible for these occurrences, he once again crosses paths with Nezumi, who spares him from permanent captivity. Now, as wanted criminals, Shion and Nezumi have no choice but to explore and unveil the pretentious facade of No. 6.

[Written by MAL Rewrite]","No. 6 was published in English by Kodansha Comics USA from June 11, 2013 to October 21, 2014. It was also published in German by Egmont Manga from October 2, 2014 to February 4, 2016, in Polish by Studio JG from October 22, 2014 to June 29, 2016, and in Spanish by Editorial Ivrea since July 2017.",https://cdn.myanimelist.net/images/manga/2/184479l.jpg,https://myanimelist.net/manga/24308/No6,No.6
194,Naruto,8.06,252412,finished,9/21/1999,381366,42103,2007-07-17 20:14:45+00:00,2022-04-18 03:16:59+00:00,"['Action', 'Adventure', 'Fantasy']","[{'id': 1879, 'first_name': 'Masashi', 'last_name': 'Kishimoto', 'role': 'Story & Art'}]",['Shounen Jump (Weekly)'],"Whenever Naruto Uzumaki proclaims that he will someday become the Hokage—a title bestowed upon the best ninja in the Village Hidden in the Leaves—no one takes him seriously. Since birth, Naruto has been shunned and ridiculed by his fellow villagers. But their contempt isn't because Naruto is loud-mouthed, mischievous, or because of his ineptitude in the ninja arts, but because there is a demon inside him. Prior to Naruto's birth, the powerful and deadly Nine-Tailed Fox attacked the village. In order to stop the rampage, the Fourth Hokage sacrificed his life to seal the demon inside the body of the newborn Naruto.

And so when he is assigned to Team 7—along with his new teammates Sasuke Uchiha and Sakura Haruno, under the mentorship of veteran ninja Kakashi Hatake—Naruto is forced to work together with other people for the first time in his life. Through undergoing vigorous training and taking on challenging missions, Naruto must learn what it means to work in a team and carve his own route toward becoming a full-fledged ninja recognized by his village.

[Written by MAL Rewrite]","Naruto has sold over 220 million copies worldwide as of 2015, making it the 4th highest grossing manga series of all time. It was nominated for the 19th Tezuka Osamu Cultural Prize in 2014, and in the same year Masashi Kishimoto was awarded Rookie of the Year in the media fine arts category by Japan's Agency for Cultural Affairs. Numerous databooks, artbooks, novels, and fanbooks on the series have been released. Eight summary volumes featuring unaltered color pages, larger dimensions, and exclusive interviews, covering the first part of the series were released between November 7, 2008 and April 10, 2009. The series was published in English by VIZ Media under the Shonen Jump imprint from August 16, 2003 to October 6, 2015. In the last four months of 2007, the campaign titled ""Naruto Nation"" was launched, in which three volumes were published each month so that US releases would be closer to Japan's, the same practice was done in February through April of 2009 this time titled ""Generation Ninja."" A 3-in-1 omnibus edition has also been released since May 3, 2011. A box set containing volumes 1-27 was released on August 6, 2008, another one containing volumes 28-48 on July 7, 2015, and the final box set with volumes 49-72 on January 5, 2016. It was also published in Brazilian Portuguese by Panini Comics/Planet Manga from May 2007 to June 2015, and again as Naruto Gold edition since July 2015.",https://cdn.myanimelist.net/images/manga/3/249658l.jpg,https://myanimelist.net/manga/11/Naruto,Naruto
195,Mars,8.33,13869,finished,1/13/1996,30515,1815,2007-07-17 20:14:45+00:00,2022-04-18 00:06:43+00:00,"['Drama', 'Romance', 'Slice of Life']","[{'id': 2329, 'first_name': 'Fuyumi', 'last_name': 'Souryo', 'role': 'Story & Art'}]",['Bessatsu Friend'],"Kira, a shy high school student, lives only for her art. Rei, An arrogant, rebellious and violent playboy, wears his delinquency like a badge of honor. They are exact opposites in every way, but when Kira sees Rei kissing a statue of Mars, she overcomes her fears and asks him to model for her. And, to everyone's surprise, Rei agrees.

(Source: Tokyopop)","Mars was republished by Kodansha in eight kanzenban volumes from October 12, 2006 to January 12, 2007. The series has been published in English by Tokyopop from April 23, 2002 to November 11, 2003. It was also adapted into a 21-episode live-action Taiwanese series in 2004.",https://cdn.myanimelist.net/images/manga/1/191262l.jpg,https://myanimelist.net/manga/443/Mars,Mars
196,Kuroko no Basket,8.13,36878,finished,12/8/2008,71219,3853,2008-12-13 23:37:44+00:00,2022-04-17 15:03:21+00:00,"['Comedy', 'Sports']","[{'id': 6854, 'first_name': 'Tadatoshi', 'last_name': 'Fujimaki', 'role': 'Story & Art'}]",['Shounen Jump (Weekly)'],"Teikou Middle School is famous for its highly renowned basketball team, which produced the famed ""Generation of Miracles"": a team of five prodigies, each with their own unique abilities, considered to be undefeatable by the time they became third years. However, blinded by pride, they split up, entering different high schools upon graduation.

Taiga Kagami, having just returned from America, joins the basketball team at Seirin High School in search of strong team members. There, he finds Tetsuya Kuroko, a seemingly unimpressive player, only for Kagami to find out that Kuroko was the ""Phantom Sixth Member"" of the Generation of Miracles: an invisible player who used his impeccable passing skills to support the team from the shadows. Together, they resolve to defeat the Generation of Miracles and make the Seirin basketball team the best in Japan.

[Written by MAL Rewrite]","Kuroko no Basket ranked sixth place in the 2012 Kono Manga ga Sugoi! for the male readers category. The series has been published in English as Kuroko's Basketball by VIZ Media in 2-in-1 omnibuses since August 2, 2016. The series is also published in Spanish by Ivrea España since October 2015 and in Polish by Waneko since December 15, 2014.",https://cdn.myanimelist.net/images/manga/2/244299l.jpg,https://myanimelist.net/manga/11652/Kuroko_no_Basket,Kuroko's Basketball
197,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.1,49801,finished,3/20/1989,84115,3160,2007-07-17 20:14:45+00:00,2022-04-17 18:04:57+00:00,"['Action', 'Adventure', 'Supernatural']","[{'id': 2619, 'first_name': 'Hirohiko', 'last_name': 'Araki', 'role': 'Story & Art'}]",['Shounen Jump (Weekly)'],"In 1989, Joseph Joestar arrives in Japan to meet his troubled grandson Joutarou Kuujou at the request of his daughter Holly. Joutarou has locked himself in a jail cell out of fear that an evil spirit is possessing him and that he may cause harm to others. However, Joseph reveals the truth to Joutarou: this ""spirit"" is really a ""Stand,"" a physical manifestation of one's fighting spirit. What's more, Joseph and his companion Mohammed Avdol possess Stands of their own and have learned to control them with ease.

Joseph's arrival comes with another piece of news: an old family enemy has returned from the grave, causing the Stands of the Joestar family to awaken. However, when a Stand manifests within Holly, her inability to cope with it leaves her gravely ill, stirring the men into action.

Armed with the power of Stands, a globe-trotting adventure from Japan to Egypt—where their adversary resides—begins. Meeting an array of nefarious Stand users along the way, as well as new allies, the team leads a crusade to save Holly and put an end to their enemy for good.

[Written by MAL Rewrite]","A 17-volume kanzenban version dubbed as JoJonium was published in Japan from December 4, 2013, to March 4, 2015. This edition covered the first three parts of the Jojo no Kimyou na Bouken series and included new cover art which showed redesigns of the characters by Araki Hirohiko. JoJonium's volumes 8-17 cover the third part. JoJo no Kimyou na Bouken Part 3: Stardust Crusaders was published in English by VIZ Media from November 8th, 2005, to December 7th, 2010 under the title JoJo's Bizarre Adventure. It was not labeled as Part 3 until later; this was due to it being the first of the series to be published in English. The publisher has been re-releasing the series uncensored following the JoJonium format and content since November 1, 2016. It was also published in Italian by Star Comics from March 1995 to March 1997. Several minor changes were made to the English release, apart from changes to several copyrighted stand users names and violence to animals and children being changed, an online group of Muslim protesters halted the release of the manga for a year. This was due to a scene in the OVA where the antagonist, Dio Brando is seen reading pages from the Qu'ran—which was not even present in the manga. Shueisha requested many scenes featuring fighting which involved buildings resembling mosques be redrawn.",https://cdn.myanimelist.net/images/manga/1/180301l.jpg,https://myanimelist.net/manga/872/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders,JoJo's Bizarre Adventure Part 3: Stardust Crusaders
198,Shingeki no Kyojin: Kuinaki Sentaku,8.17,25881,finished,11/28/2013,48076,1091,2013-08-29 10:24:29+00:00,2022-04-17 21:43:31+00:00,['Action'],"[{'id': 25201, 'first_name': 'Hikaru', 'last_name': 'Suruga', 'role': 'Art'}, {'id': 25203, 'first_name': 'Gan', 'last_name': 'Sunaaku', 'role': 'Story'}]",['ARIA'],"A spin-off shoujo manga that centers around Levi's and Erwin's past.

The young Erwin Smith is a rising star in the Survey Corps, humanity's only hope of defeating the man-eating monsters known as Titans. Ruthless and dispassionate, Erwin's mind is devoted to strategies and intrigue. But beneath Erwin's feet is another world, the ""Underground,"" where humans are born and die surrounded by the garbage the Capital throws away. Here, the criminal Levi survives on his wits and agility. But when these two ambitious men cross paths, who will prove himself stronger?

(Source: MU)","Shingeki no Kyojin: Kuinaki Sentaku is based on . The visual novel was bundled with the first press release of the 6th Blu-ray volume of the anime's 1st season and was supervised by Shingeki no Kyojin creator Hajime Isayama. The series was published in English as Attack on Titan: No Regrets by Kodansha Comics USA from June 24 to October 28, 2014, and again in a full color omnibus on December 5, 2017. It was also published in Russian by Azbuka in a complete omnibus on March 10, 2017.",https://cdn.myanimelist.net/images/manga/1/121101l.jpg,https://myanimelist.net/manga/58007/Shingeki_no_Kyojin__Kuinaki_Sentaku,Attack on Titan: No Regrets
199,Gin no Saji,8.33,13421,finished,4/6/2011,36389,1439,2011-03-29 01:08:04+00:00,2022-04-17 00:17:05+00:00,"['Award Winning', 'Comedy', 'Drama']","[{'id': 1874, 'first_name': 'Hiromu', 'last_name': 'Arakawa', 'role': 'Story & Art'}]",['Shounen Sunday'],"Yuugo Hachiken has spent every waking moment of his life studying in order to achieve the highest grades in school. Finally cracking under the pressure of his parents' expectations for success, Yuugo decides to leave his city life and enroll in the rural Ooezo Agricultural High School. However, he has absolutely no experience with farming!

Attempting to utilize the skills he has built through studying, Yuugo begins to pursue the true meaning of having a dream and perhaps discover his own along the way. But life is not as simple as it seems to be, and Yuugo must learn that hardship may appear when you least expect it.

[Written by MAL Rewrite]","In 2012, Gin no Saji won the Grand Prize at the 5th Manga Taisho Award and the 58th Shogakukan Manga Award in the shounen manga category. Gin no Saji won the first Japan Food Culture Contents Award in 2013 and was nominated for the 19th annual Tezuka Osamu Cultural Prize in 2015. The series has been published in English as Silver Spoon by Yen Press since February 27, 2018. It has also been published in English by Shogakukan Asia since December 5, 2014 and in Polish by Waneko since December 2013.",https://cdn.myanimelist.net/images/manga/1/231500l.jpg,https://myanimelist.net/manga/25096/Gin_no_Saji,Silver Spoon
200,Bishoujo Senshi Sailor Moon,8.19,21776,finished,12/28/1991,47898,4123,2007-07-17 20:14:45+00:00,2022-05-24 11:14:34+00:00,"['Award Winning', 'Drama', 'Fantasy', 'Romance']","[{'id': 1946, 'first_name': 'Naoko', 'last_name': 'Takeuchi', 'role': 'Story & Art'}]",['Nakayoshi'],"""In the name of the moon, I shall punish you!""

Usagi Tsukino is a cheerful, odango-haired 14-year-old who attends Juuban Municipal Junior High School. She prefers eating and playing video games to studying, which results in her notably poor grades. She also gets easily upset, whether by baseless insults or reasonable reprimands. It's very unlikely that she could be known as anything but a bad influence and a crybaby, but that begins to change when she meets a black cat.

Given a special brooch from the black cat named Luna, Usagi can use it to transform into a guardian of justice named Sailor Moon! She is now tasked to protect the Earth from all that is evil and to find both a missing princess and a sacred jewel known as the Legendary Silver Crystal. Whether she likes it or not, Usagi's beautiful transformation marks the start of meeting the mysterious Tuxedo Mask, fighting alongside new comrades, and learning to take responsibility in this acclaimed magical girl classic.

[Written by MAL Rewrite]","Bishoujo Senshi Sailor Moon received the 1993 Kodansha Manga Award in the shoujo manga category. It has received wide critical acclaim, being credited with redefining the magical girl genre. It was adapted to multiple anime series, two series of stage musicals, as well as a 49-episode live-action series from October 4, 2003 to September 25, 2004. A twelve-volume shinsouban (renewal edition) was published in Japan from September 22, 2003 to September 22, 2004, including two volumes containing short stories. This new edition had new cover art and title logo, as well as corrections in some panels. The series was published in English by Mixx (later Tokyopop) as a serial in two magazines, MixxZine and Smile, beginning in 1997. The series was later published in eighteen volumes, from December 1, 1998 to September 18, 2001. Tokyopop's license expired in May 2005 and this edition went out of print. It was later republished by Kodansha Comics USA from September 13, 2011 to November 26, 2013, based on Japanese shinsouban reprint. The series was also published in Polish by Japonica Polonica Fantastica and in Russian by XL Media.",https://cdn.myanimelist.net/images/manga/4/260613l.jpg,https://myanimelist.net/manga/92/Bishoujo_Senshi_Sailor_Moon,Sailor Moon
201,Rosario to Vampire: Season II,8.14,33097,finished,11/4/2007,62367,3428,2007-12-22 21:36:34+00:00,2022-04-17 20:15:06+00:00,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Romance', 'Supernatural']","[{'id': 3636, 'first_name': 'Akihisa', 'last_name': 'Ikeda', 'role': 'Story & Art'}]",['Jump SQ.'],"The story continues where the first season left off only months into the future. Yuokai Gakuen has been repaired and the new semester is underway. Tsukune and gang are back, and more powerful then ever. Anti-Thesis's true identity is revealed. With new adversaries looming on the horizon, and something much more sinister than the gang has ever faced before.

Tsukune is battling with the monster inside him. With the help of Moka, Mizore, Kurumu, Ruby, and Yukari, Tsukune trains to get his vampire blood under control and the strength to protect what he holds dear.

The new season focuses more on the girls, their past, and their families. New confrontations await them. New friends and allies will join them by their side. Together they will discover the secrets of Moka's rosary, and her lineage...

(Source: girlsdeadmonster)","Rosario to Vampire: Season II was published in English as Rosario+Vampire: Season II by Viz Media under the Shonen Jump Advanced imprint from April 6, 2010 to May 5, 2015. A complete box set (that includes the entire Rosario to Vampire series) was released on November 3. The series was also published in Italian by GP Manga from September 28, 2013 to September 5, 2015.",https://cdn.myanimelist.net/images/manga/2/54789l.jpg,https://myanimelist.net/manga/3403/Rosario_to_Vampire__Season_II,Rosario+Vampire: Season II
202,Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou,8.09,48081,finished,4/28/2017,71390,1241,2018-10-17 20:53:08+00:00,2022-05-09 18:27:52+00:00,"['Action', 'Supernatural']","[{'id': 47924, 'first_name': 'Gege', 'last_name': 'Akutami', 'role': 'Story & Art'}]",['Jump GIGA'],"Yuuta Okkotsu is haunted. Ever since his childhood friend Rika died in a traffic accident, her ghost has stuck with him. But her spirit does not appear as the sweet girl Yuuta once knew. Instead, she manifests as a monstrous and powerful entity who fiercely protects him. Unable to control Rika's violent behavior, Yuuta is helpless to stop the bloodshed that follows from her brutal vengeance. As a result, when apprehended by ""Jujutsu"" sorcerers—the secret guardians of the world, trained to combat forces like Rika—Yuuta wishes to be completely isolated so that no one else can get hurt.

Yet his apprehender, the master sorcerer Satoru Gojou, has different plans for him: he will join Jujutsu High School and learn to control Rika in order to help people. Now a first-year at this school, Yuuta starts to learn Jujutsu arts and combat malignant beings. Alongside his new classmates Maki Zenin, a Jujutsu weapons expert; Toge Inumaki, a spellcaster who uses his words as weapons; and Panda, a seemingly walking and talking panda bear, Yuuta begins to find his place in the world and, for once, to feel comfortable with his abilities. However, as his training progresses, Yuuta comes to learn that the dangers of the Jujutsu world go far beyond that of wicked spirits.

[Written by MAL Rewrite]","Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou is the prototype serialization of Jujutsu Kaisen. The story remains canon to the main series and it features a different central cast. Character designs used in this prototype were later altered in the main series; for instance, Toge Inumaki's initial design was later used for Jujutsu Kaisen's main protagonist Yuuji Itadori, while Toge underwent a redesign. It was published in English as Jujutsu Kaisen 0 by VIZ Media under the Shounen Jump imprint on January 5, 2021.",https://cdn.myanimelist.net/images/manga/2/219336l.jpg,https://myanimelist.net/manga/115710/Jujutsu_Kaisen_0__Tokyo_Toritsu_Jujutsu_Koutou_Senmon_Gakkou,
203,Sakamichi no Apollon,8.53,9795,finished,9/28/2007,26668,906,2011-08-29 08:46:04+00:00,2022-04-17 12:29:32+00:00,"['Award Winning', 'Drama', 'Romance', 'Slice of Life']","[{'id': 8494, 'first_name': 'Yuki', 'last_name': 'Kodama', 'role': 'Story & Art'}]",['Flowers (Monthly)'],"Constantly transferring schools since childhood, Kaoru Nishimi has always been seen as a social outcast when he transfers due to his intellectual nature and wealthy background. But after moving to Kyushu for his first year of high school, things begin to change when Kaoru befriends the class president Ritsuko Mukae and, unexpectedly, the notorious school delinquent Sentarou Kawabuchi. While Kaoru is an honors student, Sentarou is constantly getting into fights and skipping class. However, these two opposites find a common ground in one thing—music.

One day, Kaoru is invited by Ritsuko to visit her family's record store, where he finds Sentarou in the basement showcasing his skill in jazz drumming. Kaoru, being a classical pianist, knows nothing about jazz. But inspired by the performance, he begins to open his mind to the genre alongside Sentarou. The duo begin to practice in after-school jazz sessions in the record store's basement. As he spends more time improving his skills in jazz, Kaoru finds a person whom he can truly call his friend, and comes to learn the joys of playing music. Sakamichi no Apollon follows their story of friendship and love brought together by jazz.

[Written by MAL Rewrite]","Sakamichi no Apollon won the 57th Shogakukan Manga Award for general manga. The series has been published in Polish by J.P. Fantastica since July 2, 2015 and in Spanish by Milky Way Ediciones since October 2015.",https://cdn.myanimelist.net/images/manga/3/254787l.jpg,https://myanimelist.net/manga/28393/Sakamichi_no_Apollon,
204,Sono Bisque Doll wa Koi wo Suru,8.1,40553,currently_publishing,1/19/2018,113661,4388,2018-02-03 01:51:17+00:00,2022-04-18 04:47:18+00:00,['Slice of Life'],"[{'id': 10350, 'first_name': 'Shinichi', 'last_name': 'Fukuda', 'role': 'Story & Art'}]",['Young Gangan'],"Engrossed in the family business of traditional doll making, Wakana Gojou is a reserved high school freshman without friends. Harboring painful memories of a childhood friend's disdain toward his interest, Gojou cannot relate to his classmates and their pastimes, eventually isolating himself.

Gojou has yet to perfect his crafting of dolls' faces, but is exceptionally skilled at making their clothes. His finesse with the sewing machine is soon discovered by his beautiful classmate Marin Kitagawa, whose boldness and honesty Gojou both admires and envies. Instantly, she shares with Gojou her own hobby: she likes to cosplay as characters from erotic video games.

However, Kitagawa cannot sew her own costumes, leading her to seek Gojou's expertise. Now, as he is dragged along to the charming girl's endless cosplay-related affairs, Kitagawa becomes his first friend who fully accepts him. Thus, although polar opposites, their relationship slowly blossoms through their aptitude in helping each other in the intricate world of cosplay.

[Written by MAL Rewrite]","Sono Bisque Doll wa Koi wo Suru has been published in English as My Dress-Up Darling by Square Enix Manga since April 14, 2020. It has also been published in French as Sexy Cosplay Doll by Kana since October 25, 2019, and in Polish as Projekt: cosplay by Studio JG since May 6, 2021.",https://cdn.myanimelist.net/images/manga/2/215054l.jpg,https://myanimelist.net/manga/112268/Sono_Bisque_Doll_wa_Koi_wo_Suru,My Dress-Up Darling
205,Planetes,8.3,13967,finished,1/14/1999,44193,1591,2007-07-17 20:14:45+00:00,2022-04-17 09:03:16+00:00,"['Award Winning', 'Drama', 'Sci-Fi', 'Slice of Life']","[{'id': 2034, 'first_name': 'Makoto', 'last_name': 'Yukimura', 'role': 'Story & Art'}]",['Morning'],"Haunted by a space flight accident that claimed the life of his beloved wife, Yuri finds himself six years later as part of a team of debris cleaners on a vessel called the Toy Box charged with clearing space junk from space flight paths. The team consists of Hachimaki, a hot shot debris-man with a sailor's affinity for the orbital ocean; Fee, a chain-smoking tomboy beauty with an abrasive edge; and Pops, a veteran orbital mechanic whose avuncular presence soothes the stress of the job.

(Source: TokyoPop)","Planetes was first published in English by Tokyopop from October 7, 2003 to February 8, 2005. Their release contained 5 volumes as they had split volume 4 into two books. Dark Horse Manga republished the series in two omnibus volumes on December 22, 2015 and May 3, 2016, respectively. The series was also published in Brazilian Portuguese by Panini Comics/Planet Manga from May 2015 to November 2015. The series was the winner of the 2002 Seiun Award for Best Comic in science fiction.",https://cdn.myanimelist.net/images/manga/3/170572l.jpg,https://myanimelist.net/manga/481/Planetes,Planetes
